abdul: abdulrahman nasir zakir saeed hussain muhammadu abdelrahman fahad abdul mohamad
disruption: nieaktywność zablokować szkoda wandalizowanie wandalizowania szkodzić ekowanie edycyjny blokada trollingu
distant: odległy bliski blisko oddalić dala odlegle oddalać sedny niedaleki krewny
distinguish: rozróżnić odróżnić rozróżniać określać odróżniać określić przypisać mylić rozróżnialny zamiennia
distributor: dystrybutor dystrybuować dystrybucyjny wytwórnia lucasfilm dystrybucja company industry pixar producers
div: div ffcccc colspan rowspan roz background-color valign 31-05-2013 cccc 20-29
diversity: różnorodność bioróżnorodność zróżnicować wielokulturowość monokulturowy atrakcyjność środowiskowy zmienność kulturowy ekoturystyka
diving: nurkować nurkowanie nurkowy płetwonurkować nurek motorowodny zanurkować nurkowiec płetwonurek swimming
división: división segunda deportivo ñú esgrima primera fútbol divisió universidadu nacionalu
divorced: rozwieść ożenić żonaty owdowiały zamężny rozwód poślubić małżeństwo owdowieć wdowiec
divorce: rozwód małżeński rozwodowy małżeństwo separacja ślub zaręczyny rozwieść rozwódka przedślubny
doctorate: doktorat doktoryzować magisterium honoris habilitować habilitacja adiunkt profesor docent uniwersytet
documentation: dokumentacja dokumentowy dokumentacyjny archiwizacja dokument dokumentow repozytorium licensing lccn archiwizator
dollar: dolarowy dolar bilon dwuzłotówka złotówka ćwierćdolarówka waluta funt nominał zł
dorothy: stankówna lilianna irena krukówna krajewska kotulanka mankiewiczówna ludwiżanka wałkówna helena
dos: dos vista picasa meninas ega verão açores portela dourados senhor
dot: kropka raster anik kreskowy nipa spots diameter obwiednia numerowy tch
doug: larry jeff jacek wally greg sławomir arkadiusz jason andrzejak dave
dozens: setka kilkadziesiąt kilkaset kilkanaście dziesiątek paręset kilka kilka-kilkanaście parędziesiąt kilkadziesiat
drake: drake manek palmera starski bucki hardy milian rell dillingera ducka
duchy: księstwo margrabstwo wołogoski wołogoskiego marchia książę 1503 markizatu margrabia 1370
duck: uszatek kaczuszka byczy chomik świnka kaczka reksio skunks moher kaczula
duncan: maciejewski siudziński cegliński marian włosiński maciejak rychard dardziński mariusz michalak
dust: szron pył pyłowy mgiełka dziura obłok drobinka kropelka brud okruch
dylan: mozil kyks krall nohavicy yankovic alibabki emmylou bublé blackie kleyff
dynamics: dynamika geodynamiczny dynamics geodynamika makrokosmos modelować turbulencja reologia turbulence symulacyjny
earn: zarabiać upragniony zarobek dołożyć obronić otrzymałby zdobywać zarobić przekwalifikować uprawniać
easter: wielkanocny wielkanoc bożonarodzeniowy popielcowy dziękczynienie wigilia lednicki popielec winobranie lednica
economist: ekonomista economist ekonomistka politolog economics ekonomia finanse demograf bankowiec monetarysta
ecuador: ekwador kostaryka salwador wenezuela środkowoamerykański chile guatemala aragua nikaragua gwatemala
edgar: marcela marcelin marceline edgar winand wilf wiktorian hugo detkens wilde
edmund: 1790-1792 lobkowicz stanisław albrychta klejna ryłło daneykowicz 1861-1863 zachariasiewicz 1879-1882
eds: eds prahistoria współaut wrocław-warszawa-kraków współpr warszawa-kraków 194-195 107-108 współredakcja 142-143
educator: pedagog popularyzatorka popularyzator marianista społecznik publicysta edukator prasoznawca teatrolog nauczyciel
edu: ug sites arcs wroc 1977-1985 1971-1985 1971-1976 ita edu 1976-1980
edwin: emiliana mieczysław marian mikulski antoni ignacy franciszek walerian edmund edwin
egg: jajo jajeczko puszka jajko wypluwka piecuszek jajeczkować bleskotka kefirowy jednonogi
eighteen: dwadzieścia czterdzieści trzydzieści osiemnaście szesnaście sześćdziesiąt piętnaście dwieście siedemnaście dziesięć
elephant: słoń szczur papuga jeżozwierz tygrys koala harpia żyrafa hiena cyjon
eliminate: pozbyć wyeliminować uniknąć wprowadziłoby zapobiec doprowadziłby doprowadziłoby eliminować doprowadziłyby wymusić
elimination: dolosować nieeliminacyjny rozdanie eliminować losować trzyzespołowych eliminacja grupowy dwurundowy wyeliminować
ellen: wanda rebecka romantowska rapaczyńska kotowska hannah helena hajewska-krzysztofik niklińska grażyna
elliott: kawalec fronczewski skowroński magowski zdrójkowski markuszewski szajkowski fronczek marchwiński pierczyński
ellis: dymkowski gajkowski kupisiewicz burdziński bardziński kiełbusiewicz cieślikowski kwietniewski wawrzkiewicz osękowski
emily: natalia lucy emily jane michelle dianna maggie pamelę lilianna lilka
emma: helena emily emma regina isabellą margareta lucy lillian katherine jessika
enable: umożliwić umożliwiać umożliwiałby umożliwiałaby pozwalać umożliwiałoby możliwość umożliwiłaby ułatwić cel
engagement: spotkaniowy siedmiotygodniowy polsko-austriacka działanie polsko-austriacki almą siedmioletni engagement współdziałać polsko-austriackiej
entrepreneur: przedsiębiorca biznesman przedsiębiorczy biznesmen przedsiębiorczyni filantrop multimilioner finansista technolog miliarder
enzyme: hydrolaza dekarboksylaza karboksylaza hydroksylazy hydrolizować dekarboksylacja proteoliza proteaza peroksydaza oksydoreduktaza
equality: równość równościowy równouprawnić praworządność samostanowić poszanować samorządność suwerenność emancypacja obywatelski
equations: równanie algebraiczny różniczkowy algebraicznie tensorowy teoriomnogościowy równać fermiego-diraca funkcjonał różniczkowalny
erik: axela erik axelem hansen hermansen christiansenem axel gunnar lundquist lars
ernst: hermann hans-heinrich ernst hans heinrich muthesius karl helmuth körner friedrich
ers: 2018- axpo kolejka para-ski mtl rajda wicek hc byrt 2016-
escort: eskorta eskortować eskortowiec eskortowy odeskortować transportowiec konwój zaokrętować rajdery dozorowiec
espn: espn eurosport eurosportu euronews nsport vh1 goal serwis mmts mtv2
ethics: etyka bioetyka etyczny aksjologia deontologia bioetycznej etyk niemcoznawczy religiologia aksjologiczny
eugene: ferman gabry kazuro edmund martysz jeremiaha terence loria mowczan daniel
euro: euro euromillions eurocent eur europ futuresie eurolanche eurokarta futures eurostars
eurovision: eurowizja eurowizyjny preselekcja preselekcyjny melodifestival melodifestivalen eurofest eurovision eurolaul talent-show
evaluation: ewaluacyjny ewaluacja ekspertowy badanie dśu ocena akceptacyjny ekspertyza randomizacja procedura
everybody: my ty twój mój powiedzieliśmy nikt wiedzieliśmy chcieliśmy widzieliście słyszeliście
everyday: codzienny codzienność codzień powszedni nieodłącznie różnoraki nieodzowny rozmaity nieodłączny zabawowy
excessive: nadmierny nieodpowiedni nadmiernie nadmiar nieodpowiednio zahamowanie drastyczny skutkować niedostateczny niechlujność
excess: zakumulować zbilansować nadmiar skumulować ilość parcjalny minimalny kumulować akumulować zasobność
exhibit: ekspozycja ekspozycyjny wystawa eksponować wystawowy projekcja wystawienniczy muzealny prezentować muzeum
explorer: eksplorator podróżnik explorer explorers inlet byrda polarnik odkrywca capt jedediah
explosion: eksplozja eksplodować detonacja implozja strzelanina petarda wyładować samozniszczenie odłamek zderzyć
export: eksport eksportowy importowy eksportować import eksporter wyeksportować importować importer export
extraordinary: niezwykły niezwyczajny nienaganny niezwykłość nienagannie obdarzyć docenić znamienity elokwencja niebywały
fac: anm dopracowałem czywieszu czywiesza lnm inm brałem czywieszem wyczerpałem przejrzałam
fairy: roszpunka kapturek bajka czarodziejski baśń królewna kopciuszek calineczka zaczarować wróżka
fake: fałszywy fałszywka podrobić karteczka koperta breloczek gazetowy prawdziwy ksywka teczka
fault: uskok nasunąć trzeciorzędny upad przesuwczy czwartorzędny rozciągłość poziomica górotwór forumowisko
fbi: fbi uop cbś śledczy kontrwywiad msw abw kwp cia ub
feat: talkin kome celebrate tempah nobody believe roc mista walkin krayzie
fed: ziemny ssać posilać odfiltrowywać zasilać podnawka filtrować przyducha wykarmić wykopać
felix: felixem felixa felixowi felix jeremiaha raymund joseph anselma kornelius lacy
ferdinand: ferdynand casimira arcyksiążę ferdinand koburga ernest habsburg-este gyulę kasimir filiberta
fever: gorączka gorączkowy przeziębić gorączkować dreszcz krwotoczny podgorączkowy biegunka febra ebola
fiji: fidżi mikronezja samoa tongatapu wyspiarski rarotonga tuvalu kajman nauru vanuatu
finale: midseason odcinek opening crossoverem season dziesięciominutowy pięciominutowy raimiego glee kosogłos
finalist: finalista finalistka laureatka statuetka award nagroda laureat laureacinagroda zdobywczyni prizes
finger: młoteczkowy palec młoteczek kosteczka kciuk nacięcie klamerka kapsel łapka talerz
flooding: powódź podtopić cofka wezbrań roztop wezbrać powodziowy zalać ulewny przeciwpowodziowy
fluid: płyn nieściśliwy ciecz ściśliwy podciśnienie odsysać hydrostatyczny rozpływ turbulentny dwufazowy
flute: flet obój klarnet fisharmonia marimba fletnia sopranowy smyczkowy fortepian klarnetowy
foods: przetwór mięsny warzywo wieprzowina spożyć nabiał jadłospis mleko pieczywo odżywka
forbes: forbes domosław kulczyk domosławski roszkiewicz 2632 newsweek newsweeka fortuniak gromosław
fountain: fontanna grota nimfeum wodotrysk kandelabr skwer kapliczny zdrojowy fontanka altana
fourteen: szesnaście sześć dwadzieścia osiemnaście osiem jedenaście trzydzieści trzynaście dziesięć czterdzieści
francesco: domenico giovanni francesco antoniotto pozzobonelli nicolò nicolo giandomenico pietro antonello
frances: grudzińska chądzyńska rudzińska gordon-górecka rostworowska grabińska marianna kotowska chodorowska kicińska
frankfurt: stuttgart stuttgarter mannheim frankfurt stuttgartcie frankfurt-hahn stuttgarcki karlsruhe düsseldorf hamburg
fraser: mosiński grzywiński jegliński łoniewski kiełpiński kamrowski dakowski kitliński słoniewski kieszkowski
fraud: oszustwo umorzyć łapówkarstwo defraudacja fozz antykorupcyjny pozasądowy nieprawomocny wyłudzić nieprawomocnie
freight: towarowy normalnotorowy przewóz rozrządowy pasażerski pasażersko-towarowy dalekobieżny parowozowy szerokotorowy jednotorowy
fringe: szarlataneria mainstreamowy uniwerek popularno-naukowych wsrod nazywac gdzież zyzaka uznac czlowieka
frog: sóweczka kolczatka locustella krzyżodziób tygrysi dubelt spadiceus apodemus bażant papużka
frontier: przygraniczny pogranicze wielonarodowy braniec czadcy kordos khyber nadgraniczny kubra graniczny
funny: zabawny śmieszny niegrzeczny głupi niegłupi dowcip sarkastyczny niemądry dowcipny idiotka
für: für organischen angewandte beziehungen erläuterungen europäischen forschungen praktischen und pädagogische
fur: futro atłasowy atłas futerko futrzarski sumka gronostaj futerkowy traper planter
fusion: fusion fuzja alternatywny discharge collider progresywny proto kontaminacja reactor spacesynth
gaelic: posnania gaelicki wbp posnanii pisin jaćwież mazowszanin starofarny wilamowski szelc
galaxy: galaxies galaktyczny radiant planetarian dwarf międzygalaktyczny planetary galaxie stellar extragalactic
garage: garaż garażowy myjnia supermarket parking hipermarket strażacki parkingowy sklepowy łazienkowy
garcía: echeverría roldán morán zúñiga farías íñiguez echevarría alarcón guillermo díaz
garcia: novoa gonzales fernandez martinez lopez sandoval parra hernandez mendez menendez
gathering: zbierać urządzać zebranie gromadzić zebrać doroczny dorocznie odbywać dożynek obywać
generations: pokolenie wielopokoleniowy potomny pokoleniowy osiemdziesięcioletni trzystuletni przodek siedemdziesięcioletni praprzodek dwustuletni
gen: gen dyw generał-major generał generał-majora bryg generała-majora płk generała-pułkownika 2nd
geoffrey: kocjan ryszard 1900-1980 wieńczysława anusz podralski 1900-1944 szymon kazimierz bór-komorowski
geology: geologia geomorfologia geologiczny hydrogeologia mineralogia geochemia mineralogiczny geomorfolog glacjologia paleozoologia
geometry: geometria stereometria euklidesowy nieeuklidesowy różniczkowy optyka trygonometria trygonometryczny izometria bessela
georges: amédée georges péguy jean-léon léonce ledoux pierre pierre-auguste léonard jeanneret
georg: friedrich friedrich-wilhelm hermann gottfried philipp eiermann gotthilf karl johannsen gustav
gerald: ronald anusz drapella forbert 1892-1970 czesław 1966 1962-1974 zbigniew ledwig
ghana: nigeria zambia botswański zambijski ghana benin botswana środkowoafrykański kamerun tanzania
gibraltar: gibraltarski gibraltar malta kanaryjski minorka ceuta kadyksie falklandzki hispanioli falkland
gibson: siudziński janiak piotrowski maciejewski dądajewski chludziński góralczyk piotrowiak straburzyński staniak
gif: 10px flb logo 066 300px plw 034 061 30px 50px
girlfriend: współlokatorka przyjaciółka dziewczyna chłopak współlokator stifler wspólniczka vanessę jemma natashą
glen: chudek krzykać kałdun niedźwiadek marcinowo grzegorzew bielawka daniec bielawa kiełbonki
glenn: branny jacek arkadiusz patalas fronczek monika grzegorz mąciwoda babiarz eicca
glory: chwała milenium millenium ojczyzna sławić wieczność zmaza glory dostąpić splendor
goddess: bogini kapłanka mitologia półbóg artemida junony afrodyta hekate boginka okeanida
governorate: bajsan محافظة dżala ar-rauha wilajet an-nabatijja nabat ihumeńskim al-ahmar بيت
graduation: semestr wieczorowy semestralny ukończyć słuchaczka maturalny absolwent odsłużyć matura absolutorium
grain: zboże ziarno rzepakowy przemiał zbożowy rzepak mielić strączkowy len siewny
graph: wielomian algebraicznie aproksymacyjny wielomianowy aproksymacja afiniczny algebraiczny wykres suslina metryzowalna
graves: mogiła kaźń wuleckich grób miednoje pochówek ciałopalenie bykowni urna pomordować
gravity: grawitacja grawitacyjny mikrograwitacja turbulencja kawitacyjny kawitacja stratosferyczny troposferyczny hydrostatyczny grawitacyjnie
greene: goździewski kulesza korzeniewski hanuszkiewicz kościukiewicz kowzan goździkiewicz ostrouch leonowicz bonowicz
grid: czteropunktowy niwelacyjny siatka blokowy szerokopasmowy sześcienny s12 tenergy triangulacyjny mapping
griffin: lewandowski wilczyk kryszak witaszczyk muniek bąkiewicz budniak paszczyk żuchowicz gołębiewski
halifax: parzymiechy jałbrzykowski kobylnica powiatowy chorzele międzyrzec rosielna grajewo starosielce mirosławiec
ham: kum sernik aks bobek mak kanar kur kaa kola kogut
hammer: młot młotek siekiera toporek ostrz krzesiwo obuch kastet przeciągacz pik
handball: piłkarka badminton badmintonista nożny netballu piłkarsko-lekkoatletyczny piłkarz badmintonistka piłkarski piłkarstwo
handling: kompletacja załadunek obsługa załadunkowy rozładunek ułatwienie przeładunek serwisować przystawiać aportować
hardy: herbich korzeniak sadzik chaberski wiechowicza pasternak wiśniak florczyk starski wiktorczyk
harmony: harmonia harmonijny dysharmonia harmonista harmonijnie harmonica instrumentalizacja współbrzmienie harmonies armonia
harper: kluszczyński kieca stańczak babuchowski podsiedlik-raniowski królikowski kosierkiewicz siwkiewicz tatarczyk bratkowski
hayes: kęstowicz jaszewski kociński niedźwiecki tabortowski klepacki kamiński ałaszewski leszkiewicz durczak
header: header 85ce nagłówkowy nagłówek infoboksu footer przekierowaniausunięte wypunktować sformatować jednolinijkowy
healthy: zdrowy odżywić dożywiać objadać żywieniowy rozrodczość samopoczucie pielęgnacja 35-50 dorosły
hearts: seabiscuit devils wolves pharaoh pharaohs reliever jacket blue wings diamonds
heath: wrzos błędowski jodłowy jesionowski żurawiec kosiorek brzeźnik blicharz jasionowski kruszczyński
heinrich: hermann burckhardta friedrich gustav kästnera dieterich hans-heinrich heinrichs dohnanyi philipp
heir: bezpotomny bezpotomnie prawowity sukcesor praprawnuk praprawnuczka małoletność pogrobowy pełnoletność pogrobowiec
henderson: piechaczek kamrowski koralewski bilewski cieślakowski gralewski graliński milewski zduniak bargielski
henri: henri péguy auguste pierre-antoine boulle maurice pierre-henri jean-guy françois-rené pierre-auguste
hey: miałaś hej talkin hey śpiewałem diddley worry you byłaś kochałem
highland: świętny pobiedziska czerwonak poświętny górzyskowo wierzchowy tadzin podpoznańskich stęszew wołuszewo
holmes: mularczyk kuźmicki kuźmiński krzyształowicz niepokólczycki rybkowski lorkowski kośmicki waśkowski makarewicz
homer: homer leosia kulfon lucek lusia widziadło jeżycjada telimena żabusia anusia
honest: uczciwie szczery uczciwy szczerza nieszczery zapracować uwierzyć niewdzięczny miły wstydzić
honored: uhonorować honorować wręczać nagrodzić zasłużyć honorowy patronować przyznawać cześć uczcić
hood: maszkara rozporek przedwrocie klin kratka zako maska deka diabełek parszywka
hopkins: kawalec stołyhwo turowicz koczanowicz karkowski przybyłowski bilik noszczyk przybyłowicz polanicki
horizontal: pionowy poziomy ukośny horyzontalny wzdłużny horyzontalnie poprzeczny prostopadły równoboczny diagonalnie
hostile: wrogi nieprzyjazny nieprzyjaźń nieprzychylnie nieufnie nieprzychylny zaciekły wojować powstrzymać ostrzegać
hosting: tegorocznie wikimania tegoroczny impreza przyszłoroczny udostępniać współprowadzić program współgospodarz gospodarz
hugo: hugo arthur reymond alfreda gisbert victor klerk jodorowsky lucas maximilian
humanity: ludzkość człowieczeństwo stwórczy nadczłowiek ludzki egzystencja człowiek preegzystencja koegzystencja rozumny
humor: humor humorystyczny dowcip ironia humorystycznie ironiczny sarkastyczny dowcipny groteska groteskowy
hurt: przycichnąć martwić zmartwić potknąć opamiętać ulitować odżałować pogryźć klepnąć zmazać
hybrid: hybrydowy hybryda klon integra generacyjny konwencjonalny juniper alternatywnie alternatywny sequoia
hydrogen: wodór wodorowy węglowodorowy nadtlenek amoniak jonowy siarkowodorowy fluorowiec wysokoenergetyczny podtlenek
hypothesis: hipoteza teoria hipotetyczny sapira-whorfa wysnuć ontogenetyczny genetyczny nieprawdopodobieństwo dowieść wyjaśniałoby
ibm: ibm microsystems hewlett-packard pcss j2ee symantec computing zfs computers wordperfect
iceland: islandia owczy grenlandia reykjanes vestmannaeyjar islandzki reykjavík vestmannaeyja keflavíku keflavík
icon: ikona image wizerunek logotyp transparent logo piktor foto-medium-art icona emblemat
identifying: wyszczególniać identyfikacja autoidentyfikacja samoidentyfikacja rozpoznawać wyszczególnić uwzględniać umieszczać identyfikować zwracać
idol: idol kings telethonu strays graceland denters manatee prawozapolowego sacrament sisters
ignore: powinieneś ignorować upierać upewnić podpowiadać podpowiedzieć pokasować zastanowić zignorować zrewertować
illustrate: zilustrować ilustracja ilustrować posłużyć obrazek zobrazować zamieścić rozrysować tematyka opisywać
illustration: ilustracja ilustrować grafika rysunek obrazek ilustracyjny ilustr zilustrować ilustrator drzeworyt
imdb: filmwebie imdb filmwebu filmweb filmpolski filmografia e-teatr filmow filmography dubbingpedia
imo: imo imho niemedalowy timpul usuwałbym povu stubu treśc --slodki artukułu
implement: wdrożyć wdrażać rozwiązałoby usprawnić rozwiązać zaimplementować rozwiązanie usprawnienie harmonogramować wprowadzić
indo: austronezyjski austroazjatycki indoirański indoeuropejski indoaryjski nieindoeuropejski atapaskański wschodnioazjatycki mon-khmer zachodniogermański
infection: infekcja zakażenie infekcyjny bezobjawowy bakteryjny wiremia nieinfekcyjny bakteriemia krwawić wirusowy
infinite: nieskończoność skończoność czasoprzestrzeń ograniczoność hiperprzestrzeń rozłączny rzeczywisty nieprzemienny nieosobliwy niezmienniczy
inland: północno-zachodnie nadbrzeżny północno-zachodniego północno-zachodnich pobrzeże północno-zachodnimi północno- południowo-zachodnie północno-zachodnią południowo-zachodniego
inline: rozwinąłem f1wm f1ultra chicanef1 utworzyłem skokinarciarskie dodałem zmodyfikowałem medalowy przypis
innocent: wyspowiadać niewinny niewierny niewinnie krzywoprzysięstwo morderstwo popełniać bezkarność rozgrzeszyć mściwy
innovative: innowacyjny nowatorski innowator innowacja niekonwencjonalny innowacyjność skonwencjonalizować nowator nowoczesny kreatywny
inscription: inskrypcja wyryć inskrypcyjny napis stela monogram tabliczka sigillum obelisk dedykacyjny
insert: wkleić wklejać podmiana wstawić zakładka spo1 dodawać dopisać pogrubić dokładka
inspector: inspektor podinspektor nadinspektor intendent inspektorka inspekt insp szef komisarz inspekcja
instructor: instruktor instruktorka instruktorski dyplomować egzaminator dokształcać instruktaż kurs nauczyciel doszkolić
insufficient: wystarczać niedostateczny dostateczny niedostatecznie niemożność niedostatek znikomy ewentualny niepełny brak
integrity: integralność spójność anonimowość bezstronność poprawność poufność dawność należyty bezpieczeństwo poszanować
intelligent: inteligentny inteligentnie inteligent pojętny emergentny elokwentny intelligent niesamowicie świetnia oczytać
intense: silny intensywny gwałtowny intensyfikować przygasać podsycić spontaniczny powolny zahartować porywisty
intensity: intensywność natężenie temperacja wypromieniować oscylować wypromieniowywać fala promieniować amplituda propagacja
interim: tymczasowy komisaryczny wakat prezydent wiceprezydent zastępstwo dyrektorski konsultacyjny interim komisarycznie
interpreted: interpretować zinterpretować reinterpretować nadinterpretować pokreślić odczytywać zanegować odczytać zakreślić zinterpretowałem
introduce: wprowadzić wprowadzać rozpropagować stworzyć zaproponować pojawić unifikacja upowszechnić wykorzystać zaprezentować
invention: wynalazek wynaleźć wynalazczy wynalazca opatentować wynalazczość wynalazczyni patentować edison patent
inventor: wynalazca wynalazczyni wynaleźć wynalazek opatentować wynalazczy edison technolog twórca patent
investigate: zbadać oględziny ujawnić zawiadomić poszukiwanie rozpoznać dochodzenie poszukiwawczy rozwikłać wszcząć
invitation: zaprosić zaproszenie wizyta anonsować prośba audiencja zaanonsować propozycja interwizja wystosować
ion: ecl ion 4he jon jonowy cer proton polymer 15n ch4
iso: iso 3166-1 3166-2 639-3 3166 639-2 639-1 idn pn-iso iec
ist: deiner meiner ist macht keiner herzen komm einfach ewigkeit erst
itv: tvp2 polsat tvp tvp1 nfilm itv hbo tvn cbs tv
jackie: debiutantka jackie mitchie anita marlena patrycja policjantka shaye magda twiggy
jacksonville: łódź-widzew łódź-bałuty kobiór mysłowice-wesoła 2014r katowice-muchowiec katowice-pyrzowice łódzko-mazowieckiej wełnowiec-józefowiec pyskowice
jail: areszt więzić aresztant odsiadka odsiedzieć odsiadywać skazać więzienny więzienie cela
jake: danny jerry larry jess sean jake johnathan mike brad matt
jamie: wynter mick omeljaniec isiah alex darren danny robbie ciara steve
jam: tabb jams pineapple fizz pork bomfunk pablopavo mustard posh zipera
janeiro: janeiro são belém rio janeiro-galeão brasília alegre juazeiro bahia gerais
jeffrey: steven matwiejczyk michael terence gara rand noyce salesman eric carell
jennifer: jennifer kathy jillian roxanne jessica cheryl kathleen caitlyn nicole beth
jeremy: daniel deron johnathan colin dukowski johnathon josey michal7 derka fegan
jesse: brad brandon jonny freda sean zacha browder jesse christopher jareda
jessica: beth sharon roxanne jillian brittany sarah karen jessica katelyn susannah
jets: dron flir vixen scoutów mig-29ub mig-29k jas 3xtrim przechwyt mig-29
jin: ming jin honga shun shiji shijō shunzhi shibei chonga mingben
joel: joel eliel jonny dana jonathan steinmana gerarda schwartzman yaron daniel
johns: kawalec kała jaśkowski klinek brągiel kałuziński koczanowicz sobierajski chałasiński hauziński
johnston: cegliński haniszewski graliński anderszewski kamrowski koralewski gierszewski waliński bonarowski satanowski
joke: żartowniś wygłupiać żart dowcipniś dowcip brednia primaaprilisowy głupi śmieszny niepoważny
jorge: miguel eduardo jorge josé valladares carlos vicente pedraza ricardo guardado
joshua: aaron biderman jeremiaha judah jeremiah joshua jonatan lemuel nathaniel sirk
joy: radość rozkoszny tchnienie gloria grzesznica motność miłość szczęście rozśpiewać rozweselić
judaism: judaizm chrześcijaństwo judaistyczny chasydyzm ortodoksyjny syjonizm judeochrześcijański judaista judeochrześcijanin żydowskość
julia: julia natalia emily laura dianna larysa waleria melania kornelia julianne
julius: julius juliusa claudiusa delius kornelius claudius juliusem justusa juliusz antonius
jumping: skakać akrobatyczny trik wspinać skakanka podrzut deskorolka łyżworolka akrobatka zeskoczyć
jungle: dżungla birdcage kukabura bora-bora kalimba tropic dżunglak serengeti goryl kazuar
karen: karen rosamund lucy anne kanawa nina dianna margot anita dorothy
karnataka: bezdenominacyjny megaregion zamieszkiwać kindia 3485 saro-wiwa solukhumbu 1990 syromalabarski dhankuta
kenny: muniek krylik freddie bomert reggie darek duane mikey molęda karolak
kerry: rozmus krzaklewski wojtera gągora śniadka suchocka zimnoch grocha struzik fotyga
kingston: opoczno wyszków siemiatycze rzeszowszczyzna ostrowiec zambrowski wyszkowski chorzele jasionowski czerniewicz
kitchen: kuchenny spiżarnia kuchnia umywalnia palarnia smażalnia kredens wędzarnia pralnia winiarnia
kit: ecwcs ter signal coyote tiger kitkat mk2 trainer delorean plecak
knee: kolano kontuzja uraz kolanowy łydka naderwać łokieć plecy nadgarstek nabawić
kosovo: hercegowina serbia bośnia hercegovine kosowo albania kosovës wojwodina kosovo czarnogóra
krishna: saro-wiwa pok kyra artemia jehovah saman pulastja dia błażejowśkyj gimbutas
kumar: miniencyklopedia yasuhiro maflin kazuhiro romijn 1986-89 yasuhiko poomjaeng zaf dobruszek
kurt: siegfried kurt rudi peter broder kritzem petrich erich krafta christian
kyle: janice sebastian kristy michal7 narloch darrell fabian brennan odie wilks
lancaster: ostrowski burzyna wyszkowski dziekański bytów niwiski dzięcielski brańszczyk jarociński ułęż
lang: lang bast hanak ban haing hannan hakuna daisakusen grams hazuka
laser: laserowy laser plazmowy elektrooptyczny termowizor fotonowy optoelektroniczny podczerwień spectrometer lasers
lasting: krótkotrwały trwać przeciąg krótkotrwale długotrwały ponadlokalny długo 50-letniej wielotygodniowy kilkudziesięcioletni
latvia: łotwa wnp jēkabpils łatgalii rīgas finlandia lsrr karelia nadbałtycki łotewski
lawsuit: pozew zaskarżyć pozwać współudziałowiec nieprawomocnie wytoczyć wszcząć przedawnić uokik zaskarżać
lecturer: wykładowca profesor wykładowczyni wykładać adiunkt prorektor doktoryzować habilitować docent anglistyka
lecture: wykład wygłosić prelekcja wykładowy wygłaszać kolokwium polonistyczny pokonferencyjne pogadanka matematyczno-przyrodniczy
legally: prawnie legalnie bezprawnie formalnie notarialnie legalny prawny domicyl publicznoprawny formalnoprawny
legendary: legendarny półlegendarny słynny sławny legenda legendarium legendary pogromca rozsławić znakomitość
leicester: radzionków zabierzów proszowice wodzisław mierzyn pińczów dębica zabrze krakowski siemkowice
lens: obiektyw teleobiektyw soczewka zmiennoogniskowy cassegraina ogniskowy przysłona autofocus dalmierz ogniskować
leon: 1947-1953 1930-1937 1947-1957 opperman 1946-1949 1946-1959 micheal 1948-1953 1947-1950 1947-1949
leslie: tomecki grażyna antoni gerwin wieczorkowski budzińska paulin patrycja królicki michalik
licence: licencja licencyjnie licencyjny licencjodawca licence licencjonować licencjobiorca koncesja homologacyjny magnificencja
lifestyle: rozrywka wielopokoleniowy trend żyć show-biznes rozrywkowy show-business klientela wegański kulturalno-rozrywkowych
lift: podwiesić odwiesić zaczepić unieść zahaczyć nadmuchiwać nadmuchać podwieszeń udźwignąć zsunąć
lightning: błyskawica piorun grzmot burza podmuch błyskać orion tornado drakkar storm
likewise: mianowicie stąd analogicznie inny zatem ten podobnie niektóry więc analogiczny
limestone: piaskowiec wapień wapienny ciosowy granit piaskowcowy dolomitowy marglowy serpentynitowy granitowy
linda: mariela rebecka brenda suzanna christina linda karina pamela mariel coleen
lisbon: lizbona coimbrze coimbry funchal coimbra delgada portugalia portugalka ponta portugalski
lithuanian: łotewski białoruski rīgas wszechbiałoruski latvijas małoruski starobiałoruski estoński litewski ryga
llc: pty arcelormittal spółka-córka spółka holdings holdingowy pol-miedź holding pol-mot corporate
locality: silska teren hist laguta osiedle rejon kosowiec środkowo-zachodniej haparanda tarasówka
logan: bartowski dorociński budnik dylewski jarociński ruska czacha leosia boron kiersznowski
logical: logiczny logicznie nieintuicyjny intuicyjny logika dedukcyjny semantyczny heurystyczny semantycznie ekstensjonalny
logos: logo logotyp brb emblemat flaga znaczek napis szyld emblematyczny sealand
lok: 2470 2425 2446 2199 3706 2539 3052 7920 2354 3001
lon: 1980-2005 koech prochyra rurarz kroh królówna odija ubu koecher kna
loose: luźny zbić zacisnąć zadrzeć pokręcić potrzaskać śliski sztywny luźno porozbijać
lou: delong lou jackie maggie trixie deluise fatso scoot ernie lothe
louisville: warszawsko-bielskiej kobiel kobiór tychy mikoszewo barbórkowy rafako piekary gądów bieruń
lover: kochanek ukochać kochanka zakochać pokochać wejrzeć nieznajomy rozkochać pocałunek ukochany
loyal: lojalny lojalnie stronnik sympatia życzliwie zjednać odwdzięczyć sprzymierzeniec niechętny lojalność
lucky: lucky dżentelmeński parszywy masterson fifi guinessa birdie pechowy foggy reggiego
lucy: julianna adrianna brianna halszka marysia rachela jane marianna klementynka julianne
